mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.338195610046387,0.5251184589313093,0.005997514724731446,7.795376097338613e-06,relu,100,constant,0.0005,200,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.0005, 'max_iter': 200, 'solver': 'adam'}",0.8300363342753331,0.8193869096934548,0.8373590982286635,0.8224682246822468,0.8202020202020202,0.8258905174163438,0.006856881868683888,112
31.683369874954224,2.453853512928427,0.006205177307128907,0.00040013828131532604,relu,100,constant,0.0005,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.0005, 'max_iter': 500, 'solver': 'adam'}",0.8410757946210269,0.8291666666666667,0.8334036271615353,0.839496139780577,0.838682784493539,0.836365002544669,0.004426137799744574,67
54.88349575996399,6.371193069958242,0.008814620971679687,0.005115075728642911,relu,100,constant,0.0005,1000,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.0005, 'max_iter': 1000, 'solver': 'adam'}",0.8450140168201842,0.8491710473109584,0.8498583569405099,0.8501827040194885,0.8571428571428571,0.8502737964467995,0.003905028041819386,22
12.128045511245727,0.6324235753439598,0.005801343917846679,0.00040946691733228954,relu,100,constant,0.001,200,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.8424821002386634,0.8232323232323232,0.8413903316020775,0.8363192182410424,0.8378825475599669,0.8362613041748146,0.006890447802144414,70
30.583583402633668,2.737255344900783,0.006012153625488281,9.587154664506677e-06,relu,100,constant,0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.8527878058563979,0.8327075511055486,0.840201850294365,0.8504446240905417,0.8489148580968281,0.8450113378887363,0.0074799179560250785,34
33.5711166381836,4.453462896272559,0.006002378463745117,1.2804121014016856e-05,relu,100,constant,0.001,1000,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'}",0.8514376996805112,0.8352201257861636,0.8496677740863787,0.8504446240905417,0.8567990373044525,0.8487138521896096,0.007194105282857857,28
12.439668703079224,0.8579422127549455,0.0058041572570800785,0.00040035307435731424,relu,100,invscaling,0.0005,200,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.0005, 'max_iter': 200, 'solver': 'adam'}",0.8300363342753331,0.8193869096934548,0.8373590982286635,0.8224682246822468,0.8202020202020202,0.8258905174163438,0.006856881868683888,112
31.833071422576904,1.7141766959728946,0.006612920761108398,0.0011975373736951792,relu,100,invscaling,0.0005,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.0005, 'max_iter': 500, 'solver': 'adam'}",0.8410757946210269,0.8291666666666667,0.8334036271615353,0.839496139780577,0.838682784493539,0.836365002544669,0.004426137799744574,67
57.263141298294066,8.629745713906198,0.006805276870727539,0.0007532579035363318,relu,100,invscaling,0.0005,1000,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.0005, 'max_iter': 1000, 'solver': 'adam'}",0.8450140168201842,0.8491710473109584,0.8498583569405099,0.8501827040194885,0.8571428571428571,0.8502737964467995,0.003905028041819386,22
14.791540288925171,2.6995860957060738,0.005604171752929687,0.0004828882038244263,relu,100,invscaling,0.001,200,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.001, 'max_iter': 200, 'solver': 'adam'}",0.8424821002386634,0.8232323232323232,0.8413903316020775,0.8363192182410424,0.8378825475599669,0.8362613041748146,0.006890447802144414,70
31.084947967529295,3.6116767372619734,0.0060043811798095705,8.844011779304222e-07,relu,100,invscaling,0.001,500,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.8527878058563979,0.8327075511055486,0.840201850294365,0.8504446240905417,0.8489148580968281,0.8450113378887363,0.0074799179560250785,34
32.9698890209198,2.9036015524182672,0.01001114845275879,0.006726019423968749,relu,100,invscaling,0.001,1000,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'invscaling', 'learning_rate_init': 0.001, 'max_iter': 1000, 'solver': 'adam'}",0.8514376996805112,0.8352201257861636,0.8496677740863787,0.8504446240905417,0.8567990373044525,0.8487138521896096,0.007194105282857857,28
12.789116191864014,0.5441440524880199,0.005408143997192383,0.0004941250814823958,relu,100,adaptive,0.0005,200,adam,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'learning_rate': 'adaptive', 'learning_rate_init': 0.0005, 'max_iter': 200, 'solver': 'adam'}",0.8300363342753331,0.8193869096934548,0.8373590982286635,0.8224682246822468,0.8202020202020202,0.8258905174163438,0.006856881868683888,112
