mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.7718976020813,0.6424729725733953,0.0038059711456298827,0.0007549610589963579,relu,100,200,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'max_iter': 200}",0.8279749478079332,0.8271398747390397,0.8437761069340016,0.8324979114452798,0.8395989974937343,0.8341975676839978,0.0065168200421753565,13
33.02792768478393,0.7205464450796373,0.0040036201477050785,8.476442735019291e-07,relu,100,500,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'max_iter': 500}",0.8471816283924843,0.8488517745302714,0.8533834586466166,0.849624060150376,0.8575605680868839,0.8513202979613264,0.003722822039643496,6
17.33994064331055,0.5083458656764905,0.009214687347412109,0.0054203935018223405,relu,200,200,"{'activation': 'relu', 'hidden_layer_sizes': 200, 'max_iter': 200}",0.8438413361169103,0.8484342379958246,0.8475355054302423,0.85421888053467,0.8538011695906432,0.849566225933658,0.003943641172379983,7
44.107623386383054,5.484483791428323,0.00940394401550293,0.001025752694771781,relu,200,500,"{'activation': 'relu', 'hidden_layer_sizes': 200, 'max_iter': 500}",0.8546972860125261,0.8455114822546973,0.8462823725981621,0.8579782790309106,0.8613199665831245,0.8531578772958841,0.00629230761471637,5
25.501166105270386,0.6305738441534479,0.0072079658508300785,0.0003895958191514357,relu,"[100, 100]",200,"{'activation': 'relu', 'hidden_layer_sizes': [100, 100], 'max_iter': 200}",0.8459290187891441,0.8438413361169103,0.8629908103592314,0.8600668337510443,0.8621553884711779,0.8549966774975015,0.008336952239514705,3
38.85608348846436,6.45090088720086,0.016214895248413085,0.014338043251813176,relu,"[100, 100]",500,"{'activation': 'relu', 'hidden_layer_sizes': [100, 100], 'max_iter': 500}",0.8501043841336117,0.8392484342379958,0.8680033416875522,0.8558897243107769,0.8675856307435255,0.8561663030226925,0.010895450156529226,2
8.325330257415771,0.6881207634100465,0.007209014892578125,0.00892222948247048,relu,"(36, 18, 3)",200,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18, 3), 'max_iter': 200}",0.8254697286012526,0.8396659707724425,0.8253968253968254,0.8345864661654135,0.8370927318295739,0.8324423445531016,0.005944086951916898,15
11.132130336761474,2.4685625679903214,0.004803705215454102,0.004633916146602054,relu,"(36, 18, 3)",500,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18, 3), 'max_iter': 500}",0.8225469728601252,0.8413361169102297,0.8341687552213868,0.8345864661654135,0.8287385129490392,0.8322753648212389,0.006295621913099807,16
7.887025928497314,0.20163374452593197,0.002799701690673828,0.0003989109317749863,relu,"(36, 18)",200,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18), 'max_iter': 200}",0.8334029227557411,0.8292275574112735,0.8350041771094403,0.8270676691729323,0.8400167084377611,0.8329438069774296,0.0045347845325160435,14
13.74139313697815,2.407066874027016,0.0024048328399658204,0.00048737832680421705,relu,"(36, 18)",500,"{'activation': 'relu', 'hidden_layer_sizes': (36, 18), 'max_iter': 500}",0.8313152400835073,0.8350730688935282,0.8437761069340016,0.8391812865497076,0.8500417710944027,0.8398774947110296,0.006563400173827519,9
18.0244291305542,6.151658512911619,0.0078124523162841795,0.001597691214149253,tanh,100,200,"{'activation': 'tanh', 'hidden_layer_sizes': 100, 'max_iter': 200}",0.8192066805845512,0.8112734864300626,0.8245614035087719,0.8199665831244779,0.8170426065162907,0.8184101520328309,0.004328903021841989,20
36.32988324165344,1.3496764638011483,0.007009172439575195,7.452401892260229e-06,tanh,100,500,"{'activation': 'tanh', 'hidden_layer_sizes': 100, 'max_iter': 500}",0.8263048016701461,0.8409185803757829,0.8412698412698413,0.8400167084377611,0.8412698412698413,0.8379559546046746,0.005843576168462725,12
21.476702976226807,1.2807418068185974,0.017215728759765625,0.009912838111108446,tanh,200,200,"{'activation': 'tanh', 'hidden_layer_sizes': 200, 'max_iter': 200}",0.8133611691022965,0.8146137787056368,0.8358395989974937,0.8153717627401837,0.8162071846282373,0.8190786988347696,0.00843256071799919,19
56.60772476196289,4.505860012630252,0.012208843231201172,0.00040023424516343894,tanh,200,500,"{'activation': 'tanh', 'hidden_layer_sizes': 200, 'max_iter': 500}",0.8354906054279749,0.84258872651357,0.8500417710944027,0.8421052631578947,0.8441938178780284,0.8428840368143741,0.004654142471076358,8
29.216212129592897,0.437272097184534,0.014415121078491211,0.0023320045762416346,tanh,"[100, 100]",200,"{'activation': 'tanh', 'hidden_layer_sizes': [100, 100], 'max_iter': 200}",0.8492693110647181,0.8517745302713987,0.8546365914786967,0.852548036758563,0.8600668337510443,0.8536590606648842,0.0036351300634837433,4
78.90280642509461,1.8470704768527375,0.013609886169433594,0.0004974268010204448,tanh,"[100, 100]",500,"{'activation': 'tanh', 'hidden_layer_sizes': [100, 100], 'max_iter': 500}",0.8780793319415449,0.8722338204592902,0.8759398496240601,0.868421052631579,0.8796992481203008,0.8748746605553549,0.0040817712641496775,1
9.539191627502442,0.14480464263032353,0.013809728622436523,0.013023217273203203,tanh,"(36, 18, 3)",200,"{'activation': 'tanh', 'hidden_layer_sizes': (36, 18, 3), 'max_iter': 200}",0.8296450939457203,0.8313152400835073,0.8366750208855472,0.8262322472848789,0.8287385129490392,0.8305212230297385,0.0034882850077227225,17
