mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.083675098419189,0.5494939428461598,0.007208538055419922,0.002712066871577511,100,200,"{'hidden_layer_sizes': 100, 'max_iter': 200}",0.6086956521739131,0.6124137931034482,0.5673758865248227,0.6716791979949874,0.6312925170068027,0.6182914093607949,0.03387713143048249,5
13.336107444763183,1.6569912493227559,0.005800914764404297,0.0007484166229655925,100,500,"{'hidden_layer_sizes': 100, 'max_iter': 500}",0.6179921773142112,0.6416040100250626,0.5690140845070423,0.644474034620506,0.6097201767304861,0.6165608966394616,0.027261123077347477,9
12.611776494979859,1.9183171283643392,0.006008434295654297,7.628500409185334e-06,100,1000,"{'hidden_layer_sizes': 100, 'max_iter': 1000}",0.6179921773142112,0.6416040100250626,0.5690140845070423,0.644474034620506,0.6097201767304861,0.6165608966394616,0.027261123077347477,9
14.888202047348022,1.3928808054745168,0.007208442687988282,0.0003986676217164751,200,200,"{'hidden_layer_sizes': 200, 'max_iter': 200}",0.6197916666666666,0.6457286432160804,0.5583333333333333,0.6594885598923284,0.6204906204906205,0.6207665647198058,0.034702833388020285,3
25.119902753829955,8.185094697910866,0.007204294204711914,0.0007542001602263093,200,500,"{'hidden_layer_sizes': 200, 'max_iter': 500}",0.6005586592178771,0.6504065040650406,0.5831202046035806,0.6692810457516339,0.6329113924050633,0.6272555612086391,0.03160617095219332,1
25.768960523605347,7.592565684233341,0.008001995086669923,0.0015528201756710902,200,1000,"{'hidden_layer_sizes': 200, 'max_iter': 1000}",0.6005586592178771,0.6504065040650406,0.5831202046035806,0.6692810457516339,0.6329113924050633,0.6272555612086391,0.03160617095219332,1
9.738545179367065,1.5591777610173678,0.005196571350097656,0.0004046597568740385,"(56, 28, 8)",200,"{'hidden_layer_sizes': (56, 28, 8), 'max_iter': 200}",0.6335877862595419,0.6435406698564593,0.5441988950276243,0.6363636363636364,0.6289473684210526,0.6173276711856628,0.036869271427579405,8
10.313354682922363,3.094414938417565,0.005002927780151367,8.971637593377485e-07,"(56, 28, 8)",500,"{'hidden_layer_sizes': (56, 28, 8), 'max_iter': 500}",0.6335877862595419,0.6435406698564593,0.5452054794520548,0.6363636363636364,0.6289473684210526,0.6175289880705489,0.03647000376651676,6
11.14373869895935,3.6728888650451945,0.005002737045288086,1.2291859392786257e-05,"(56, 28, 8)",1000,"{'hidden_layer_sizes': (56, 28, 8), 'max_iter': 1000}",0.6335877862595419,0.6435406698564593,0.5452054794520548,0.6363636363636364,0.6289473684210526,0.6175289880705489,0.03647000376651676,6
9.063045358657837,1.6961880958402704,0.004610013961791992,0.0004964052402350231,"(56, 28)",200,"{'hidden_layer_sizes': (56, 28), 'max_iter': 200}",0.6213592233009708,0.6432160804020101,0.5566166439290586,0.6384720327421555,0.6424870466321243,0.6204302054012638,0.03287625763512767,4
12.213100385665893,4.379524375530335,0.005407571792602539,0.0007977887238714207,"(56, 28)",500,"{'hidden_layer_sizes': (56, 28), 'max_iter': 500}",0.614765100671141,0.6432160804020101,0.5375722543352601,0.601418439716312,0.6424870466321243,0.6078917843513696,0.038674593814104596,11
12.078404521942138,4.563681861011397,0.004606771469116211,0.0004860537634764994,"(56, 28)",1000,"{'hidden_layer_sizes': (56, 28), 'max_iter': 1000}",0.614765100671141,0.6432160804020101,0.5375722543352601,0.601418439716312,0.6424870466321243,0.6078917843513696,0.038674593814104596,11
