mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8580107688903809,0.2876700757727418,0.002802324295043945,0.00039932785820467626,10,0.1,500,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'adam'}",0.5573294629898404,0.63121387283237,0.6246498599439776,0.5936599423631124,0.5548387096774193,0.5923383695613439,0.03221469152649221,13
2.129721260070801,0.4439636387771523,0.002997732162475586,0.0006383780688388402,10,0.01,500,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.5940594059405941,0.6153846153846153,0.6502057613168724,0.6134453781512604,0.6368876080691643,0.6219965537725013,0.01956950408712447,2
4.941931867599488,1.0122781505959535,0.002594327926635742,0.0004920795811289921,10,0.001,500,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5810055865921787,0.594059405940594,0.6474622770919068,0.6164021164021165,0.6297872340425532,0.6137433240138699,0.02391928136403005,8
6.718189907073975,0.4849281564854928,0.0023978233337402345,0.000493025442486062,10,0.0001,500,adam,"{'hidden_layer_sizes': 10, 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.5557163531114327,0.5731166912850811,0.6046511627906976,0.5482517482517482,0.5752608047690014,0.5713993520415921,0.01952081456288416,15
1.0869770526885987,0.36965146058694925,0.002601003646850586,0.0004896691739323004,50,0.1,500,adam,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'adam'}",0.5291338582677166,0.5665101721439749,0.4535714285714286,0.5730659025787965,0.0,0.4244562723123833,0.21644045328728767,16
4.444634532928466,0.865518714434545,0.0034022808074951174,0.0004906219995177434,50,0.01,500,adam,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.5992601726263871,0.6036161335187761,0.6356589147286822,0.5885714285714286,0.6203703703703705,0.609495403963129,0.016612842728472427,9
12.872523069381714,2.846812750256184,0.0036033153533935546,0.0017455117751845413,50,0.001,500,adam,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5820256776034237,0.5938864628820961,0.6364883401920439,0.6002844950213371,0.6619718309859154,0.6149313613369632,0.029724439735569798,7
14.89113483428955,2.518323487118528,0.0036069393157958985,0.00048642898228980317,50,0.0001,500,adam,"{'hidden_layer_sizes': 50, 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.5673352435530086,0.592274678111588,0.6341463414634146,0.5970149253731343,0.6046511627906977,0.5990844702583686,0.02153598179629351,11
1.4036035537719727,0.34376721321988163,0.003999948501586914,0.000631982347776056,100,0.1,500,adam,"{'hidden_layer_sizes': 100, 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'adam'}",0.6038647342995169,0.6276595744680851,0.6608695652173914,0.6143958868894601,0.5786963434022256,0.6170972208553358,0.027146287921574253,5
4.122937393188477,1.760613624788255,0.004604244232177734,0.0012016774595675374,100,0.01,500,adam,"{'hidden_layer_sizes': 100, 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.6080206985769728,0.57909604519774,0.6094674556213018,0.5620328849028401,0.6398891966759003,0.599701256194951,0.026918927352044566,10
14.948085403442382,4.349207677477231,0.006000518798828125,0.0020032052112592498,100,0.001,500,adam,"{'hidden_layer_sizes': 100, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5988538681948423,0.5904486251808972,0.6512261580381472,0.6090425531914894,0.6601941747572816,0.6219530758725316,0.028326949669897235,3
32.77799468040466,5.76686721545619,0.005807018280029297,0.0014703127102702548,100,0.0001,500,adam,"{'hidden_layer_sizes': 100, 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.5939226519337016,0.597997138769671,0.6434540389972145,0.6089309878213803,0.6343612334801761,0.6157332102004287,0.01975847418951568,6
1.809086275100708,0.29621154003788525,0.006808042526245117,0.002638938125191304,200,0.1,500,adam,"{'hidden_layer_sizes': 200, 'learning_rate_init': 0.1, 'max_iter': 500, 'solver': 'adam'}",0.5291338582677166,0.598404255319149,0.6336633663366337,0.6456361724500524,0.5634266886326195,0.5940528682012343,0.04336174381947243,12
7.767364597320556,2.6433189635012786,0.00619974136352539,0.0011714111871825286,200,0.01,500,adam,"{'hidden_layer_sizes': 200, 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.5508021390374331,0.5528700906344411,0.6026200873362446,0.6073697585768743,0.6378653113087674,0.5903054773787522,0.03366511261074066,14
19.100453186035157,3.9263406143758073,0.007204532623291016,0.00040078246827409786,200,0.001,500,adam,"{'hidden_layer_sizes': 200, 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5978260869565217,0.6311688311688312,0.6259946949602123,0.6172185430463576,0.6448863636363636,0.6234189039536573,0.015626801679218986,1
38.42020716667175,3.9059066337018344,0.009202909469604493,0.00214093913077883,200,0.0001,500,adam,"{'hidden_layer_sizes': 200, 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.5946704067321178,0.5962373371924746,0.6474622770919068,0.6027397260273973,0.6472303206997085,0.617668013548721,0.024382968321624426,4
